date,forecast,forecast_lower,forecast_upper,n_banks,card_type
2025-06-01,109887726.57354479,106622072.06665565,113630672.29308356,11,cc
2025-07-01,110850375.83688766,105178658.45293844,114942923.69358894,11,cc
2025-08-01,111908302.88583457,104286335.6454053,118082917.4356357,11,cc
2025-09-01,113214162.28572637,105076994.7352758,120361000.5283003,11,cc
2025-10-01,114361900.93000832,104834462.74778104,122244914.23342039,11,cc
2025-11-01,115690665.39229065,104902613.74683288,124759982.84940223,11,cc
2025-12-01,115787452.55764371,104288208.67692569,125313693.71476004,11,cc
2026-01-01,117955544.48506148,104689616.0608782,129206514.95063758,11,cc
2026-02-01,119001724.30965169,105765942.69825837,132324630.52967268,11,cc
2026-03-01,119097658.85144658,105464853.82510206,133239450.71589522,11,cc
2026-04-01,120749666.46934596,105708584.67365174,136794524.3997374,11,cc
2026-05-01,120614525.52933449,104351081.20726511,138655030.43334854,11,cc
2026-06-01,121211868.56077625,103503337.28236106,141408499.23059735,11,cc
2026-07-01,122051419.49130017,102839562.49136056,142629801.22247648,11,cc
2026-08-01,122523088.79100369,102410444.89789756,146052343.68779993,11,cc
2026-09-01,123253772.0544058,102112110.99073242,149436826.83555877,11,cc
2026-10-01,124283004.65000457,101882816.31925872,153797435.20280698,11,cc
2026-11-01,124871234.44157675,101333270.81281388,158752627.37402382,11,cc
2026-12-01,125792270.9006219,101165045.57516646,161535628.4512707,11,cc
2027-01-01,126974330.79595144,101317323.35081707,167431592.51108655,11,cc
2027-02-01,127812335.35707453,101078090.0308067,174213850.93709543,11,cc
2027-03-01,128271348.35404801,100529460.56657256,176222111.8710257,11,cc
2027-04-01,129109757.8330977,99823647.42773545,187604871.7150818,11,cc
2027-05-01,129958803.30172065,99387920.35715815,197758568.63141033,11,cc
