date,forecast,forecast_lower,forecast_upper,n_banks,card_type
2025-06-01,1011115195.9753937,955965458.3551797,1220248235.7188356,17,dc
2025-07-01,1012273957.9968663,948009914.5195191,1207422224.2269206,17,dc
2025-08-01,1017455718.4507744,949962633.249239,1210033829.544394,17,dc
2025-09-01,1019652125.1590897,942156234.230921,1217069561.3142529,17,dc
2025-10-01,1024619605.8579997,944155436.2806273,1188882318.706457,17,dc
2025-11-01,1029349807.804116,934536783.1733115,1234566040.121223,17,dc
2025-12-01,1033270499.7731119,927029378.5194982,1234670349.2351236,17,dc
2026-01-01,1030335995.1943144,905846037.0564151,1299956403.0228558,17,dc
2026-02-01,1035861484.8049022,897465737.5965654,1311345863.615746,17,dc
2026-03-01,1043461430.1554406,904788805.6037705,1398190829.987978,17,dc
2026-04-01,1029757016.2199163,889036165.786855,1416543207.3605673,17,dc
2026-05-01,1022229836.1713114,875317168.554358,1455965387.780642,17,dc
2026-06-01,1019351353.6209431,869900668.5590814,1527658691.753396,17,dc
2026-07-01,1016402844.5939025,867130821.7991105,1540013247.042387,17,dc
2026-08-01,1016519065.6601877,856861870.4147624,1713339111.0593905,17,dc
2026-09-01,1015462434.8709853,851984637.0711465,1958303107.2849357,17,dc
2026-10-01,1016288365.5107981,847894133.3145313,1829047964.118826,17,dc
2026-11-01,1020133751.2193942,827428703.1530753,3000570151.003435,17,dc
2026-12-01,1014233260.5343058,837638583.8848859,1480904511.2906666,17,dc
2027-01-01,1013336985.199504,809756728.6141057,1843753742.7176743,17,dc
2027-02-01,1013462820.3912168,805087448.4690456,2111749631.659257,17,dc
2027-03-01,1020136678.739824,784863439.9928334,6666110848.581567,17,dc
2027-04-01,1015356555.0999981,786192463.1249908,8047648517.977541,17,dc
2027-05-01,1014392261.3788471,777715924.1094866,21861286490.613514,17,dc
