date,credit_cards_outstanding_lakh,debit_cards_outstanding_lakh,credit_card_vol_lakh,credit_card_pos_vol_lakh,credit_card_other_vol_lakh,debit_card_vol_lakh,debit_card_pos_vol_lakh,debit_card_other_vol_lakh,pos_terminals_lakh,upi_qr_lakh,upi_volume_mn,upi_p2m_vol_mn,repo_rate,cpi_index,cpi_inflation_pct
2004-04-01,,,95.7,,,33.05,,,,,,,,,
2004-05-01,,,98.6,,,33.33,,,,,,,,,
2004-06-01,,,103.4,,,33.61,,,,,,,,,
2004-07-01,,,97.7,,,33.89,,,,,,,,,
2004-08-01,,,107.9,,,34.17,,,,,,,,,
2004-09-01,,,100.6,,,34.45,,,,,,,,,
2004-10-01,,,113.1,,,34.74,,,,,,,,,
2004-11-01,,,122.5,,,35.03,,,,,,,,,
2004-12-01,,,113.4,,,35.32,,,,,,,,,
2005-01-01,,,116.6,,,35.62,,,,,,,,,
2005-02-01,,,106.8,,,35.91,,,,,,,,,
2005-03-01,,,118.5,,,36.21,,,,,,,,,
2005-04-01,,,117.8,,,38.29,,,,,,,,,
2005-05-01,,,129.2,,,37.38,,,,,,,,,
2005-06-01,,,121.6,,,35.05,,,,,,,,,
2005-07-01,,,126.8,,,39.57,,,,,,,,,
2005-08-01,,,123.4,,,34.21,,,,,,,,,
2005-09-01,,,119.0,,,33.74,,,,,,,,,
2005-10-01,,,104.1,,,41.87,,,,,,,,,
2005-11-01,,,143.3,,,36.09,,,,,,,,,
2005-12-01,,,146.2,,,40.36,,,,,,,,,
2006-01-01,,,147.1,,,40.65,,,,,,,,,
2006-02-01,,,134.9,,,38.24,,,,,,,,,
2006-03-01,,,147.5,,,41.41,,,,,,,,,
2006-04-01,177.16,518.1,117.7,,,41.5,,,,,,,,,
2006-05-01,180.55,527.0,131.9,,,44.37,,,,,,,,,
2006-06-01,185.76,546.9,125.5,,,42.6,,,,,,,,,
2006-07-01,190.27,573.1,133.7,,,49.26,,,,,,,,,
2006-08-01,195.65,589.6,139.8,,,188.37,,,,,,,,,
2006-09-01,200.39,614.0,136.2,,,205.52,,,,,,,,,
2006-10-01,204.85,658.6,151.7,,,190.37,,,,,,,,,
2006-11-01,210.98,664.2,139.6,,,214.92,,,,,,,,,
2006-12-01,215.99,689.3,151.9,,,208.8,,,,,,,,,
2007-01-01,221.08,698.4,161.9,,,213.91,,,,,,,7.5,,
2007-02-01,226.54,720.3,147.3,,,222.32,,,,,,,7.5,,
2007-03-01,231.23,749.8,158.3,,,205.46,,,,,,,7.75,,
2007-04-01,235.03,758.7,167.4,,,213.73,,,,,,,7.75,,
2007-05-01,241.29,784.6,174.7,,,224.62,,,,,,,7.75,,
2007-06-01,243.98,795.7,171.9,,,243.87,,,,,,,7.75,,
2007-07-01,244.89,819.7,179.5,,,238.91,,,,,,,7.75,,
2007-08-01,249.48,849.5,188.4,,,72.3,,,,,,,7.75,,
2007-09-01,251.4,876.5,174.2,,,68.91,,,,,,,7.75,,
2007-10-01,256.16,897.1,207.5,,,77.69,,,,,,,7.75,,
2007-11-01,258.74,922.6,199.4,,,83.84,,,,,,,7.75,,
2007-12-01,262.45,946.9,202.5,,,80.72,,,,,,,7.75,,
2008-01-01,266.33,967.9,207.2,,,81.54,,,,,,,7.75,,
2008-02-01,268.75,996.0,198.9,,,81.58,,,,,,,7.75,,
2008-03-01,275.47,1024.4,210.5,,,87.15,,,,,,,7.75,,
2008-04-01,283.12,1049.9,215.5,,,84.44,,,,,,,7.75,,
2008-05-01,267.34,1082.5,215.0,,,93.33,,,,,,,7.75,,
2008-06-01,270.16,1101.5,206.2,,,92.91,,,,,,,8.5,,
2008-07-01,268.68,1130.4,225.0,,,100.49,,,,,,,9.0,,
2008-08-01,267.33,1140.6,226.3,,,112.41,,,,,,,9.0,,
2008-09-01,268.2,1197.4,219.2,,,103.96,,,,,,,9.0,,
2008-10-01,266.75,1219.6,236.5,,,119.03,,,,,,,8.0,,
2008-11-01,265.74,1255.1,205.7,,,105.13,,,,,,,7.5,,
2008-12-01,261.53,1275.3,226.0,,,118.56,,,,,,,6.5,,
2009-01-01,258.71,1314.2,217.9,,,118.69,,,,,,,5.5,,
2009-02-01,255.12,1342.4,196.0,,,110.38,,,,,,,5.5,,
2009-03-01,246.99,1374.3,207.0,,,117.21,,,,,,,5.0,,
2009-04-01,243.67,1405.5,185.4,,,120.47,,,,,,,4.75,,
2009-05-01,240.54,1430.3,182.0,,,127.08,,,,,,,4.75,,
2009-06-01,228.44,1463.9,191.0,,,125.93,,,,,,,4.75,,
2009-07-01,222.56,1512.6,202.1,,,142.27,,,,,,,4.75,,
2009-08-01,219.49,1551.0,196.7,,,147.94,,,,,,,4.75,,
2009-09-01,213.08,1590.2,191.3,,,136.86,,,,,,,4.75,,
2009-10-01,211.18,1628.1,204.7,,,144.22,,,,,,,4.75,,
2009-11-01,208.41,1658.3,194.2,,,141.32,,,,,,,4.75,,
2009-12-01,206.45,1705.7,204.8,,,154.39,,,,,,,4.75,,
2010-01-01,204.39,1741.3,202.6,,,158.25,,,,,,,4.75,,
2010-02-01,201.63,1779.8,181.2,,,146.78,,,,,,,4.75,,
2010-03-01,183.31,1819.7,206.5,,,156.18,,,,,,,5.0,,
2010-04-01,192.88,1847.9,198.3,,,159.97,,,,,,,5.25,,
2010-05-01,190.24,1882.5,209.5,,,179.03,,,,,,,5.25,,
2010-06-01,189.44,1919.1,202.0,,,168.23,,,,,,,5.25,,
2010-07-01,189.27,1957.0,219.0,,,188.37,,,,,,,5.75,,
2010-08-01,188.54,2000.9,226.1,,,205.52,,,,,,,5.75,,
2010-09-01,184.26,2038.3,210.9,,,190.37,,,,,,,6.0,,
2010-10-01,182.17,2081.4,229.1,,,214.92,,,,,,,6.0,,
2010-11-01,181.88,2118.8,230.4,,,208.8,,,,,,,6.25,,
2010-12-01,181.02,2160.4,234.9,,,213.91,,,,,,,6.25,,
2011-01-01,181.36,2182.1,240.8,,,222.32,,,,,,,6.5,89.5,
2011-02-01,181.33,2223.7,216.5,,,205.46,,,,,,,6.5,88.4,
2011-03-01,180.39,2278.4,234.1,,,213.73,,,,,,,6.75,88.4,
2011-04-01,177.8,2302.6,234.0,,,4220.1,,,,,,,6.75,89.1,
2011-05-01,176.6,2349.8,255.2,,,4278.5,,,,,,,7.25,89.8,
2011-06-01,176.6,2395.2,243.6,,,4156.3,,,,,,,7.5,90.6,
2011-07-01,176.5,2433.4,257.8,,,4412.5,,,,,,,8.0,91.8,
2011-08-01,175.8,2514.8,278.7,,,4422.3,,,,,,,8.0,92.7,
2011-09-01,176.2,2519.7,257.6,,,4357.2,,,,,,,8.25,93.8,
2011-10-01,176.2,2555.6,288.3,,,4803.7,,,,,,,8.5,94.8,
2011-11-01,176.4,2598.3,265.9,,,4440.7,,,,,,,8.5,95.2,
2011-12-01,176.7,2638.0,283.3,,,4735.7,,,,,,,8.5,94.7,
2012-01-01,177.4,2680.0,300.0,,,4647.3,,,,,,,8.5,95.1,6.26
2012-02-01,175.7,2736.5,267.7,,,4603.2,,,,,,,8.5,95.5,8.03
2012-03-01,176.5,2782.8,289.5,,,5017.0,,,,,,,8.5,96.4,9.05
2012-04-01,177.72203,2818.96365,296.75142,,,4836.55442,,,,,,,8.0,97.8,9.76
2012-05-01,179.00756,2863.16295,303.61972,,,4923.65144,,,,,,,8.0,98.6,9.8
2012-06-01,180.13578,2906.77993,297.08109,,,4701.65858,,,,,,,8.0,99.8,10.15
2012-07-01,181.52748,2940.77943,335.77295,,,4703.45475,,,,,,,8.0,101.1,10.13
2012-08-01,182.37281,2985.72426,327.33961,,,4626.58552,,,,,,,8.0,102.2,10.25
2012-09-01,183.79623,3024.81807,306.26262,,,4568.5091,,,,,,,8.0,102.9,9.7
2012-10-01,185.33052,3068.33366,358.44941,,,4826.12579,,,,,,,8.0,103.6,9.28
2012-11-01,186.67689,3094.77518,342.0197824,,,4744.27426,,,,,,,8.0,104.3,9.56
2012-12-01,188.65537,3144.36803,363.19754,,,4916.80894,,,,,,,8.0,104.6,10.45
2013-01-01,190.38319,3203.50288,372.16857,,,4946.20176,,,,,,,7.75,105.1,10.52
2013-02-01,192.35148,3256.51757,331.2148123,,,4684.86036,,,,,,,7.75,105.3,
2013-03-01,195.54297,3311.9672,358.42252,,,5273.81264,,,,,,,7.5,105.5,
2013-04-01,195.53677,3368.66879,379.68114,,,5187.05063,,,,,,,7.5,106.1,
2013-05-01,195.89918,3422.45876,405.1003,,,5253.48452,,,,,,,7.25,107.5,9.03
2013-06-01,191.32467,3485.11646,370.18287,,,5157.85778,,,,,,,7.25,109.3,
2013-07-01,187.82298,3554.17741,444.27342,,,5393.12525,,,,,,,7.25,111.0,
2013-08-01,184.43838,3623.37081,433.91518,,,5521.3138,,,,,,,7.25,112.4,
2013-09-01,185.74936,3677.94961,420.41541,,,5470.06065,,,,,,,7.5,113.7,
2013-10-01,185.78309,3741.92339,453.75181,,,5931.65856,,,,,,,7.75,114.8,
2013-11-01,187.47076,3814.6428,420.7424,,,5618.69672,,,,,,,7.75,116.3,
2013-12-01,186.86136,3725.06779,459.10624,,,5826.47021,,,,,,,7.75,114.5,
2014-01-01,189.7416,3803.32001,458.52754,,,5922.20737,,,,,,,8.0,113.6,8.6
2014-02-01,190.5221,3865.8243,410.63222,,,5504.2537,,,,,,,8.0,113.6,7.88
2014-03-01,191.81567,3944.21738,464.01963,,,6284.78994,,,,,,,8.0,114.2,8.25
2014-04-01,192.26475,3996.52017,467.41745,,,6103.00727,,,,,,,8.0,115.1,8.48
2014-05-01,193.91237,4017.2,475.49989,,,6273.5,,,,,,,8.0,115.8,8.33
2014-06-01,194.7655,4090.34442,485.689,,,6153.72348,,,,,,,8.0,116.7,6.77
2014-07-01,196.14232,4139.19085,512.40307,,,6476.00277,,,,,,,8.0,119.2,7.39
2014-08-01,197.8,4239.5,508.5,,,6549.5,,,,,,,8.0,120.3,7.03
2014-09-01,198.84463,4310.43405,505.02809,,,6565.59782,,,,,,,8.0,120.1,5.63
2014-10-01,199.54598,4440.27326,549.25273,,,6763.99308,,,,,,,8.0,120.1,4.62
2014-11-01,201.4,4659.8,486.6,,,6357.2,,,,,,,8.0,120.1,3.27
2014-12-01,203.6,5000.8,565.3,,,6646.8,,,,,,,8.0,119.4,4.28
2015-01-01,206.12165,5247.87926,565.82337,,,6770.40623,,,,,,,7.75,119.5,5.19
2015-02-01,208.57696,5380.31734,499.15966,,,6382.91073,,,,,,,7.75,119.7,5.37
2015-03-01,211.10653,5534.51553,573.4422,,,7003.10861,,,,,,,7.5,120.2,5.25
2015-04-01,212.87902,5646.36256,577.39749,,,6961.14948,,,,,,,7.5,120.7,4.87
2015-05-01,214.80389,5708.09719,605.98617,,,7255.9558,,,,,,,7.5,121.6,5.01
2015-06-01,216.41454,5757.56915,626.37274,,,7061.01537,,,,,,,7.25,123.0,5.4
2015-07-01,220.00749,5868.03158,652.43833,,,7501.4113,,,,,,,7.25,123.6,3.69
2015-08-01,223.32767,5985.08555,659.95411,,,7691.9211,,,,,,,7.25,124.8,3.74
2015-09-01,224.4696,6033.50917,628.96177,,,7452.35698,,,,,,,6.75,125.4,4.41
2015-10-01,228.80607,6107.78103,694.3686,,,8032.5,,,,,,,6.75,126.1,5.0
2015-11-01,224.75006,6246.3,665.33933,,,7744.5,,,,,,,6.75,126.6,5.41
2015-12-01,227.46723,6431.9,699.00015,,,8161.2,,,,,,,6.75,126.1,5.61
2016-01-01,237.82202,6533.63198,702.24396,,,8175.05597,,,,,,,6.75,126.3,5.69
2016-02-01,241.26523,6583.78788,676.33518,,,7987.03414,,,,,,,6.75,126.0,5.26
2016-03-01,245.05219,6615.36018,728.32925,,,8445.90741,,,,,,,6.75,126.0,4.83
2016-04-01,248.59919,6711.87187,734.19402,,,8516.83079,,,,,0.0,,6.5,127.3,5.47
2016-05-01,251.47902,6800.1068,790.57403,,,8715.35846,,,,,0.0,,6.5,128.6,5.76
2016-06-01,255.42269,6911.42157,768.97923,,,8503.74592,,,,,0.0,,6.5,130.1,5.77
2016-07-01,259.43794,6972.22455,800.47048,,,8812.03432,,,,,0.09,,6.5,131.1,6.07
2016-08-01,263.7894,7124.65787,846.01242,,,8872.67444,,,,,0.09,,6.5,131.1,5.05
2016-09-01,268.56758,7281.95958,785.30855,,,8673.25283,,,,,0.09,,6.5,130.9,4.39
2016-10-01,273.44842,7482.78909,894.85806,,,9426.51385,,,,,0.1,,6.25,131.4,4.2
2016-11-01,277.83026,7511.97796,983.14444,,,7978.22285,,,,,0.29,,6.25,131.2,3.63
2016-12-01,283.21039,7644.31356,1164.58762,,,10459.2819,,,,,1.99,,6.25,130.4,3.41
2017-01-01,288.45858,7785.65537,1132.42575,,,10409.70708,,,,,4.46,,6.25,130.3,3.17
2017-02-01,290.78655,7594.21228,953.50347,,,9443.16668,,,,,4.38,,6.25,130.6,3.65
2017-03-01,298.42235,7716.49172,1080.99506,,,9812.80948,,,,,6.37,,6.25,130.9,3.89
2017-04-01,303.74102,7807.95417,1070.59782,,,9331.59663,,,,,7.2,,6.25,131.1,2.99
2017-05-01,308.56236,7903.57565,1158.76892,,,9253.17377,,,,,9.36,,6.25,131.4,2.18
2017-06-01,314.777,7975.41881,1100.26442,,,9276.3674,,,,,10.35,,6.25,132.0,1.46
2017-07-01,320.56929,8040.51123,1113.75512,,,9651.69762,,,,,11.63,,6.25,134.2,2.36
2017-08-01,326.45679,8108.68624,1159.85835,,,9860.32912,,,,,16.8,,6.0,135.4,3.28
2017-09-01,333.42644,8197.62867,1132.86775,,,9927.78673,,,,,30.98,,6.0,135.2,3.28
2017-10-01,338.70443,8262.5473,1240.43614,,,10218.70737,,,,,76.96,,6.0,136.1,3.58
2017-11-01,347.75605,8328.88354,1165.8753,,,10022.96886,,,,,105.02,,6.0,137.6,4.88
2017-12-01,354.96202,8424.71191,1244.82521,,,10543.19993,,,,,145.64,,6.0,137.2,5.21
2018-01-01,362.3824,8466.97494,1307.25181,,,10429.39253,,,,,151.83,,6.0,136.9,5.07
2018-02-01,369.35373,8554.45369,1154.42603,,,10002.84078,,,,,171.4,,6.0,136.4,4.44
2018-03-01,374.84955,8610.76,1280.77981,,,10938.42969,,,,,178.05,,6.0,136.5,4.28
2018-04-01,377.82876,9063.56781,1330.45787,,,10927.0469,,,,,190.08,,6.0,137.1,4.58
2018-05-01,386.0463,9239.62,1390.39268,,,11001.6628,,,,,189.48,,6.0,137.8,4.87
2018-06-01,393.80747,9442.74,1367.25242,,,11115.3309,,,,,246.37,,6.25,138.5,4.92
2018-07-01,401.66013,9620.0,1458.10422,,,11491.111,,,,,273.75,,6.25,139.8,4.17
2018-08-01,410.41092,9801.97288,1450.4082,,,11626.9427,,,,,312.02,,6.5,140.4,3.69
2018-09-01,417.758,9824.49131,1390.30687,,,11610.8633,,,,,405.87,,6.5,140.2,3.7
2018-10-01,426.752,9971.057,1619.7307,,,12622.4321,,,,,482.36,,6.5,140.7,3.38
2018-11-01,432.354,9925.63,1466.46407,,,12159.6192,,,,,524.94,,6.5,140.8,2.33
2018-12-01,442.138,9581.5,1592.17121,,,13009.9549,,,,,620.17,,6.5,140.1,2.11
2019-01-01,451.71,9233.95544,1604.28967,,,12540.1283,,,,,672.75,,6.5,139.6,1.97
2019-02-01,460.616,9309.44419,1421.28778,,,11643.9693,,,,,674.19,,6.25,139.9,2.57
2019-03-01,470.886,9058.13162,1632.74155,,,12989.8941,,,,,799.54,,6.25,140.4,2.86
2019-04-01,479.968,8602.94723,1677.85442,,,12219.8935,,,,,781.79,,6.0,141.2,2.99
2019-05-01,489.20802,8004.37073,1740.42606,,,12282.411,,,,,733.54,,6.0,142.0,3.05
2019-06-01,496.48103,8119.44533,1640.45532,,,12126.1948,,,,,754.54,,5.75,142.9,3.18
2019-07-01,502.63911,8153.85724,1792.82148,,,12416.5538,,,,,822.29,,5.75,144.2,3.15
2019-08-01,517.65489,8261.30369,1804.30796,,,12436.2756,,,,,918.35,,5.4,145.0,3.28
2019-09-01,525.89719,8355.93848,1802.88189,,,12089.5515,,,,,955.02,,5.4,145.8,3.99
2019-10-01,533.58641,8436.22237,2036.00032,,,13140.4329,,,,,1148.36,,5.15,147.2,4.62
2019-11-01,544.10765,8307.5859,1762.12447,1033.5223,728.60217,4180.83816511,2483.17672539,1697.66143972,41.28351,,1218.77,,5.15,148.6,5.54
2019-12-01,553.32847,8053.24206,2036.63822,1181.08671,855.55151,4448.7488,2634.17604,1814.57276,42.48777,,1308.4,,5.15,150.4,7.35
2020-01-01,561.20245,8164.1,2017.27299,1160.35476,856.91823,4500.84588,2587.37895078,1913.46692922,42.91612,,1305.02,,5.15,150.2,7.59
2020-02-01,571.5809,8230.22953,1882.94,1072.5,810.44,4245.74409,2455.91592,1789.82817,43.70702,,1325.69,,5.15,149.1,6.58
2020-03-01,577.45105,8285.61639,1638.57148,900.63829,737.93319,3608.1258,1925.24911147,1682.87668853,44.33973,,1246.84,,4.4,148.6,5.84
2020-04-01,573.60145,8294.46698,768.53233,283.25878,485.27355,2053.66204,676.32211859,1377.33992141,43.91388,,999.57,,4.4,151.4,
2020-05-01,571.79899,8353.4912,1028.86387,432.30148,596.56239,2658.81667,1121.14733694,1537.66933306,43.22169,,1234.5,496.07,4.0,150.9,
2020-06-01,572.89033,8454.14384,1248.54866,588.57604,659.97262,3002.33734,1475.38458,1526.95276,43.2583,,1336.93,517.85,4.0,151.8,6.23
2020-07-01,576.32047,8523.55001,1319.66372,601.62907,718.03465,3161.93045,1461.94364386,1699.98680614,43.57123,,1497.36,578.15,4.0,153.9,6.73
2020-08-01,578.30597,8553.72729,1425.10546,659.46914,765.63632,3389.42109,1647.46749038,1741.95359962,43.5518,,1618.83,626.28,4.0,154.7,6.69
