date,source_format,credit_cards_outstanding_lakh,debit_cards_outstanding_lakh,credit_card_vol_lakh,credit_card_val_cr,credit_card_pos_vol_lakh,credit_card_pos_val_cr,credit_card_other_vol_lakh,credit_card_other_val_cr,debit_card_vol_lakh,debit_card_val_cr,debit_card_pos_vol_lakh,debit_card_pos_val_cr,debit_card_other_vol_lakh,debit_card_other_val_cr,pos_terminals_lakh,upi_qr_lakh,bharat_qr_lakh
2004-04-01,old,,,95.7,1829.0,,,,,33.05,426.65,,,,,,,
2004-05-01,old,,,98.6,1898.0,,,,,33.33,430.21,,,,,,,
2004-06-01,old,,,103.4,1909.0,,,,,33.61,433.79,,,,,,,
2004-07-01,old,,,97.7,1860.0,,,,,33.89,437.4,,,,,,,
2004-08-01,old,,,107.9,2063.0,,,,,34.17,441.05,,,,,,,
2004-09-01,old,,,100.6,2004.0,,,,,34.45,444.72,,,,,,,
2004-10-01,old,,,113.1,2252.0,,,,,34.74,448.43,,,,,,,
2004-11-01,old,,,122.5,2480.0,,,,,35.03,452.16,,,,,,,
2004-12-01,old,,,113.4,2377.0,,,,,35.32,455.93,,,,,,,
2005-01-01,old,,,116.6,2332.0,,,,,35.62,459.73,,,,,,,
2005-02-01,old,,,106.8,2202.0,,,,,35.91,463.56,,,,,,,
2005-03-01,old,,,118.5,2482.0,,,,,36.21,467.42,,,,,,,
2005-04-01,old,,,117.8,2549.0,,,,,38.29,535.12,,,,,,,
2005-05-01,old,,,129.2,3211.0,,,,,37.38,479.9,,,,,,,
2005-06-01,old,,,121.6,2714.0,,,,,35.05,635.03,,,,,,,
2005-07-01,old,,,126.8,2676.0,,,,,39.57,494.58,,,,,,,
2005-08-01,old,,,123.4,3060.0,,,,,34.21,419.9,,,,,,,
2005-09-01,old,,,119.0,2601.0,,,,,33.74,376.04,,,,,,,
2005-10-01,old,,,104.1,2505.0,,,,,41.87,456.42,,,,,,,
2005-11-01,old,,,143.3,2756.0,,,,,36.09,474.22,,,,,,,
2005-12-01,old,,,146.2,2866.0,,,,,40.36,510.84,,,,,,,
2006-01-01,old,,,147.1,2959.0,,,,,40.65,510.18,,,,,,,
2006-02-01,old,,,134.9,2873.0,,,,,38.24,470.95,,,,,,,
2006-03-01,old,,,147.5,3116.0,,,,,41.41,533.96,,,,,,,
2006-04-01,old,175.95535799999996,187.808058000002,117.7,2616.0,,,,,41.5,540.91,,,,,,,
2006-05-01,old,179.34535799999998,196.70805800000198,131.9,2971.0,,,,,44.37,586.38,,,,,,,
2006-06-01,old,184.55535799999996,216.60805800000196,125.5,2774.0,,,,,42.6,557.22,,,,,,,
2006-07-01,old,189.06535799999997,242.808058000002,133.7,2957.0,,,,,49.26,620.25,,,,,,,
2006-08-01,old,194.44535799999997,259.308058000002,139.8,3212.0,,,,,188.37,2903.02,,,,,,,
2006-09-01,old,199.18535799999995,283.708058000002,136.2,3270.0,,,,,205.52,3321.09,,,,,,,
2006-10-01,old,203.64535799999996,328.308058000002,151.7,3992.0,,,,,190.37,2985.23,,,,,,,
2006-11-01,old,209.77535799999995,333.90805800000203,139.6,3602.0,,,,,214.92,3714.37,,,,,,,
2006-12-01,old,214.78535799999997,359.00805800000194,151.9,3884.0,,,,,208.8,3722.47,,,,,,,
2007-01-01,old,219.87535799999998,368.10805800000196,161.9,4110.0,,,,,213.91,3605.89,,,,,,,
2007-02-01,old,225.33535799999996,390.00805800000194,147.3,3875.0,,,,,222.32,3712.67,,,,,,,
2007-03-01,old,230.02535799999995,419.50805800000194,158.3,4099.0,,,,,205.46,3304.43,,,,,,,
2007-04-01,old,233.82535799999997,428.40805800000203,167.4,4258.0,,,,,213.73,3356.98,,,,,,,
2007-05-01,old,240.08535799999996,454.308058000002,174.7,4296.0,,,,,224.62,3705.54,,,,,,,
2007-06-01,old,242.77535799999995,465.40805800000203,171.9,4191.0,,,,,243.87,4201.36,,,,,,,
2007-07-01,old,243.68535799999995,489.40805800000203,179.5,4451.0,,,,,238.91,3783.88,,,,,,,
2007-08-01,old,248.27535799999995,519.208058000002,188.4,4601.0,,,,,72.3,1008.71,,,,,,,
2007-09-01,old,250.19535799999997,546.208058000002,174.2,4315.0,,,,,68.91,953.07,,,,,,,
