date,upi_p2p_p2m_total_vol_mn,upi_p2p_p2m_total_val_cr,upi_p2p_vol_mn,upi_p2p_val_cr,upi_p2m_vol_mn,upi_p2m_val_cr
2020-05-01,1234.5,218391.6,738.43,189655.44,496.07,28736.16
2020-06-01,1336.93,261835.0,819.08,228052.84,517.85,33782.16
2020-07-01,1497.36,290537.86,919.21,251145.19,578.15,39392.67
2020-08-01,1618.83,298307.61,992.55,256433.43,626.28,41874.18
2020-09-01,1800.14,329027.66,1092.32,282401.74,707.82,46625.93
2020-10-01,2071.62,386106.74,1227.17,330684.11,844.45,55422.63
2020-11-01,2210.23,390999.15,1324.68,329953.41,885.55,61045.73
2020-12-01,2234.16,416176.21,1283.71,348006.06,950.45,68170.15
2021-01-01,2302.73,431181.89,1294.11,360545.93,1008.62,70635.96
2021-02-01,2292.9,425062.76,1281.8,354819.42,1011.1,70243.34
2021-03-01,2731.68,504886.44,1515.53,421810.19,1216.15,83076.25
2021-04-01,2641.06,493663.67,1448.53,411827.19,1192.53,81836.48
2021-05-01,2539.57,490638.65,1396.99,403884.58,1142.58,86754.07
2021-06-01,2807.51,547373.17,1550.08,447775.59,1257.43,99597.58
2021-07-01,3247.82,606281.14,1781.79,493664.08,1466.03,112617.06
2021-08-01,3555.55,639116.95,1945.8,516207.43,1609.74,122909.52
2021-09-01,4186.48,768436.11,2547.94,618101.55,1638.54,150334.56
2021-10-01,4218.65,771444.98,2507.12,621400.74,1711.53,150044.24
2021-11-01,4186.48,768436.11,2547.94,618101.55,1638.54,150334.56
2021-12-01,4566.3,826848.22,2812.0,669127.56,1754.3,157720.66
2022-01-01,4617.15,831993.11,2757.61,667270.65,1859.54,164722.46
2022-02-01,4527.49,826843.0,2631.65,663841.98,1895.84,163001.03
2022-03-01,5405.65,960581.66,3201.15,777823.3,2204.5,182758.36
2022-04-01,5583.05,983302.27,3319.85,805925.89,2263.2,177376.39
2022-05-01,5955.2,1041520.07,3408.55,827153.68,2546.65,214366.39
2022-06-01,5862.75,1014384.31,3302.67,800412.5,2560.08,213971.81
2022-07-01,6288.4,1062991.76,3289.15,832265.84,2999.25,230725.92
2022-08-01,6579.63,1072792.68,3289.26,833370.86,3290.37,239421.82
2022-09-01,6780.8,1116438.1,3233.61,862049.27,3547.19,254388.83
2022-10-01,7305.42,1211582.51,3436.66,928872.06,3868.76,282710.45
2022-11-01,7309.45,1190593.39,3401.49,921601.77,3907.96,268991.61
2022-12-01,7829.49,1282055.01,3602.19,991748.31,4227.3,290306.69
2023-01-01,8036.89,1298726.62,3625.95,997781.02,4410.94,300945.6
2023-02-01,7534.76,1235846.62,3381.56,956834.37,4153.2,279012.26
2023-03-01,8685.3,1410443.01,3859.05,1088096.36,4826.25,322346.66
2023-04-01,8898.14,1407007.55,3868.39,1085903.07,5029.74,321104.48
2023-05-01,9415.19,1489145.5,4045.48,1145072.32,5369.7,344073.18
2023-06-01,9335.06,1475464.27,3971.43,1125422.26,5363.63,350042.01
2023-07-01,9964.61,1533645.2,4184.42,1148397.97,5780.19,385247.22
2023-08-01,10586.02,1576536.56,4388.83,1179095.66,6197.18,397440.9
2023-09-01,10555.69,1579133.18,4373.12,1182916.93,6181.57,396216.25
2023-10-01,11408.79,1715768.34,4689.42,1273587.62,6719.37,442180.74
2023-11-01,11235.29,1739740.61,4649.47,1292866.82,6585.81,446873.79
2023-12-01,12020.23,1822949.42,4754.79,1347696.13,7265.44,475253.29
2024-01-01,12203.02,1841083.97,4753.09,1340323.61,7449.93,500760.37
2024-02-01,12102.68,1827869.33,4742.69,1348523.03,7359.98,479346.31
2024-03-01,13440.0,1978353.23,5144.03,1460125.24,8295.97,518227.99
2024-04-01,13303.99,1964464.52,4996.52,1433520.79,8307.47,530943.73
2024-05-01,14035.84,2044937.05,5231.01,1488235.39,8804.83,556701.66
2024-06-01,13885.14,2007081.16,5164.39,1447142.17,8720.75,559938.98
2024-07-01,14435.55,2064292.4,5435.96,1471369.99,8999.59,592922.41
2024-08-01,14963.05,2060735.57,5625.77,1484591.0,9337.28,576144.57
2024-09-01,15041.75,2063994.71,5688.87,1497941.07,9352.88,566053.64
2024-10-01,16584.97,2349821.45,6281.79,1681872.99,10303.18,667948.46
2024-11-01,15482.02,2155187.4,5833.16,1556010.77,9648.87,599176.63
2024-12-01,16730.01,2324699.91,6335.63,1692632.54,10394.38,632067.37
2025-01-01,16996.0,2348037.12,6426.25,1703333.03,10569.75,644704.09
2025-02-01,16106.19,2196481.69,6039.45,1606397.95,10066.74,590083.74
2025-03-01,18301.51,2477221.61,6840.45,1806811.06,11461.06,670410.55
2025-04-01,17893.42,2394925.87,6539.82,1731364.08,11353.6,663561.79
2025-05-01,18677.46,2514297.01,6823.8,1817672.02,11853.66,696624.99
2025-06-01,18395.01,2403930.69,6685.63,1721058.47,11709.38,682872.22
2025-07-01,19467.95,2508498.09,7079.843,1774485.73,12388.11,734012.36
2025-08-01,20008.31,2485472.91,7303.15,1761675.49,12705.16,723797.42
2025-09-01,19633.43,2489736.54,7266.46,1770169.25,12366.97,719567.29
2025-10-01,20700.92,2727790.68,7673.36,1902048.48,13027.56,825742.2
2025-11-01,20466.98,2631632.63,7626.49,1867080.57,12840.49,764552.06
2025-12-01,21634.67,2796712.73,8152.29,1989139.74,13482.38,807572.99
